FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_300spots_bg_200_0_I_10000_0_img1.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_300spots_bg_200_0_I_10000_0_img1__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
740.032	14419.9	5500.63	495.977	198.564	22243.1	218.58	218.58	592.501	304.119	325.694	925.196	260.032	339.909	1000.63	7	6	91	19	4	8	89	93	16	22	658	163.047	41.9453	0.547429	1	1	-1
952.258	8734.12	2693.9	495.967	201.515	18736.6	213.942	213.942	591.598	317.239	301.981	899.038	312.258	254.12	893.898	6	7	56	10	5	9	54	58	7	13	646	166.045	42.2404	0.551281	1	1	-1
1171.49	9564.26	7221.03	496.904	199.411	18117.4	215.65	215.65	601.337	334.326	309.95	906.007	371.486	284.263	921.029	6	8	61	25	6	10	59	63	22	28	662	167.762	42.5494	0.555313	1	1	-1
1121.78	34392.1	3459.85	484.534	195.625	24130.1	221.864	221.864	612.313	320.364	317.962	863.142	321.775	312.117	759.852	6	8	216	13	6	10	214	218	10	16	649	166.426	40.626	0.53021	1	1	-1
1327.39	30655.8	6135.45	504.344	197.279	22558.2	218.009	218.009	588.805	333.156	302.42	936.349	367.39	255.846	1035.45	7	9	193	21	7	11	191	195	18	24	625	156.357	42.7567	0.558019	1	1	-1
1523.77	16444	6673.6	474.685	193.534	281087	248.955	248.955	663.267	342.229	309.952	839.663	403.769	283.98	673.603	9	10	104	24	8	12	102	106	21	27	649	159.832	39.7611	0.518923	1	1	-1
1438.26	25760.6	2246.37	502.03	199.783	18988	214.91	214.91	593.488	319.047	320.972	859.07	318.255	320.586	746.366	6	10	162	9	8	12	160	164	6	12	675	174.384	42.348	0.552685	1	1	-1
1593	3575.65	2540.18	496.662	199.691	23581.7	214.361	214.361	600.842	317.659	335.264	858.78	313.004	375.651	740.181	7	11	23	10	9	13	21	25	7	13	651	167.125	42.2963	0.552011	1	1	-1
1618.08	18555.4	6885.91	493.747	198.296	27199.6	217.483	217.483	601.949	324.743	318.297	898.199	338.083	315.41	885.906	6	11	117	24	9	13	115	119	21	27	679	171.089	41.6661	0.543785	1	1	-1
1886.18	16246.1	6080.75	467.562	183.956	547329	269.786	269.786	701.82	309.96	344.565	925.862	286.183	406.135	980.752	10	13	102	21	11	15	100	104	18	24	670	156.13	42.538	0.555165	1	1	-1
1906.36	17612.7	4932.21	502.676	203.247	23440.8	211.075	211.075	593.562	316.129	323.394	933.69	306.361	332.672	1032.21	6	13	111	17	11	15	109	113	14	20	668	177.936	42.7308	0.557681	1	1	-1
