FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_0_I_10000_0_img1.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_0_I_10000_0_img1__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
1730.52	9302.89	6113.24	499.652	201.037	18405.7	215.011	215.011	588.457	311.744	326.198	930.773	290.516	342.89	1013.24	6	12	59	21	10	14	57	61	18	24	676	401	85.1668	0.958843	1	1	-1
3183.93	33461.1	4577.26	511.316	200.184	21486.9	214.312	214.312	587.283	315.407	325.898	922.227	303.93	341.143	977.264	6	21	210	16	19	23	208	212	13	19	674	405	86.5097	0.973962	1	1	-1
3998.12	14922.9	6365.12	492.048	197.777	20426.5	218.332	218.332	594.716	319.27	332.062	916.293	318.122	362.894	965.117	6	26	94	22	24	28	92	96	19	25	640	381	83.8834	0.944394	1	1	-1
8268.63	1749.61	4974.72	496.329	197.876	23997.6	218.613	218.613	589.426	305.765	316.775	865.84	268.626	309.605	774.718	7	53	12	18	51	55	10	14	15	21	627	376	85.4714	0.962273	1	1	-1
8310.08	19415	6652.07	485.81	203.029	19930.9	215.32	215.32	599.521	317.474	334.898	914.997	310.08	375.047	952.067	6	53	122	23	51	55	120	124	20	26	675	385	82.5694	0.929601	1	1	-1
9055.91	12905.8	1587.55	500.193	204.962	20179.7	211.846	211.846	577.669	303.131	305.744	922.909	255.914	265.803	987.546	7	58	82	6	56	60	80	84	3	9	642	374	86.5703	0.974644	1	1	-1
9188.92	19641.3	7110.99	501.694	203.186	20824.3	211.681	211.681	585.146	295.472	309.342	877.315	228.921	281.284	810.988	7	59	124	25	57	61	122	126	22	28	660	376	86.5378	0.974278	1	1	-1
9675.23	38787.3	6029.19	493.212	198.048	21830.7	218.194	218.194	601.225	340.26	295.187	907.962	395.234	227.254	929.194	7	61	244	21	59	63	242	246	18	24	609	352	87.9761	0.990472	1	1	-1
12024.6	10414	7439.88	477.999	192.989	20396.5	225.072	225.072	621.892	326.868	323.796	884.65	344.62	333.998	839.881	6	76	66	26	74	78	64	68	23	29	638	379	82.0122	0.923328	1	1	-1
12735.5	2189.8	4926.61	492.398	199.611	26913.5	218.784	218.784	595.679	303.087	306.657	853.701	255.467	269.795	726.609	7	81	15	18	79	83	13	17	15	21	631	366	86.8515	0.97781	1	1	-1
18228.3	24985.6	3711.64	499.176	199.08	20656.4	216.699	216.699	594.37	316.698	326.554	850.774	308.265	345.609	711.641	7	115	157	14	113	117	155	159	11	17	639	378	86.0761	0.969081	1	1	-1
19715.7	2235.77	5567.16	488.974	198.86	19577.6	220.395	220.395	588.464	329.398	318.553	943.691	355.694	315.772	1067.16	7	124	15	19	122	126	13	17	16	22	642	376	84.5529	0.951932	1	1	-1
20490	34045	3933.24	499.75	200.76	21538.8	215.745	215.745	584.662	322.224	310.052	909.425	329.988	285.032	933.238	6	129	214	14	127	131	212	216	11	17	663	400	84.6108	0.952583	1	1	-1
21990.2	1413.96	4484.28	495.729	196.243	22966	219.746	219.746	606.83	295.327	312.744	895.216	230.194	293.965	884.275	7	139	10	16	137	141	8	12	13	19	644	379	86.9441	0.978852	1	1	-1
24741.5	39456.9	5712.52	506.412	204.396	20630.6	212.197	212.197	569.326	303.999	302.796	902.67	261.475	256.896	912.517	6	156	248	20	154	158	246	250	17	23	637	375	87.1189	0.980821	1	1	-1
25175.6	19954.6	6026.18	493.913	197.966	19305.5	217.116	217.116	606.74	335.401	307.612	906.949	375.583	274.584	926.18	6	158	126	21	156	160	124	128	18	24	628	374	85.23	0.959555	1	1	-1
25337.3	7754.57	6174.2	507.332	202.717	21768.6	211.548	211.548	584.324	335.535	297.164	869.388	377.32	234.571	774.203	7	159	50	22	157	161	48	52	19	25	655	374	88.8225	1	1	1	-1
26379.7	15029.5	6648.93	495.888	195.576	24314.6	220.007	220.007	602.933	315.278	317.261	833.621	299.656	309.549	648.929	7	166	95	24	164	168	93	97	21	27	652	380	86.9069	0.978434	1	1	-1
28604	33844.2	4364.4	490.121	196.113	24552	221.449	221.449	596.576	311.006	299.345	862.909	283.977	244.226	764.398	7	180	213	16	178	182	211	215	13	19	627	367	86.2473	0.971008	1	1	-1
31615.9	10560.7	1598.87	504.752	203.07	22569.3	210.631	210.631	594.037	302.497	319.964	925.523	255.928	320.664	998.869	6	199	67	6	197	201	65	69	3	9	670	394	86.6524	0.975568	1	1	-1
34345.5	40137.8	6765.82	485.159	197.858	17725.7	220.547	220.547	604.797	305.462	314.054	864.675	265.49	297.783	765.817	7	216	252	24	214	218	250	254	21	27	632	367	84.3427	0.949565	1	1	-1
34627	10253.4	5328.89	490.605	197.631	18992.4	219.609	219.609	597.517	338.069	323.93	881.609	386.989	333.377	828.89	6	217	65	19	215	219	63	67	16	22	638	375	84.8225	0.954967	1	1	-1
34683.7	30948	6948.24	489.772	196.892	25443	220.071	220.071	611.344	310.593	338.45	912.494	283.676	388.007	948.238	7	218	194	24	216	220	192	196	21	27	613	365	85.3263	0.960639	1	1	-1
35993.7	20164.6	6103.5	499.438	199.645	24320.5	215.34	215.34	595.131	317.973	321.231	927.77	313.723	324.615	1003.5	6	226	127	21	224	228	125	129	18	24	670	400	84.6607	0.953146	1	1	-1
37069.4	16736	3064.22	501.495	201.012	16657.7	214.543	214.543	586.396	306.354	302.807	917.006	269.4	255.971	964.215	6	233	106	11	231	235	104	108	8	14	652	384	86.6363	0.975388	1	1	-1
38136.1	5987	2998.67	500.506	199.459	17889.1	214.514	214.514	602.807	335.277	338.655	900.758	376.143	386.997	898.674	6	239	38	11	237	241	36	40	8	14	641	375	86.6371	0.975396	1	1	-1
39223	25568.1	2959.72	505.742	200.741	22246.3	213.711	213.711	588.93	326.721	311.426	889.783	342.964	288.103	859.719	6	246	161	11	244	248	159	163	8	14	687	408	85.6595	0.964391	1	1	-1
