FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_0_I_10000_0_img2.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_0_I_10000_0_img2__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
1394.56	1978.85	4362.64	505.761	205.712	22447.6	210.432	210.432	574.633	307.178	335.653	941.942	274.565	378.846	1062.64	7	10	13	15	8	12	11	15	12	18	661	386	87.4817	0.984907	1	1	-1
1905.08	35679.3	4093.64	497.084	203.38	23063.6	214.365	214.365	574.62	316.76	319.598	951.097	305.082	319.28	1093.64	7	13	224	14	11	15	222	226	11	17	670	389	85.3187	0.960555	1	1	-1
3081.14	24221.9	1599.64	510.322	203.04	20726.8	211.675	211.675	581.099	330.992	336.953	846.764	361.144	381.904	699.643	7	20	152	7	18	22	150	154	4	10	666	381	88.8223	1	1	1	-1
3583.77	37322.5	2083.24	490.856	199.175	30111.6	217.011	217.011	601.425	337.666	331.452	894.13	383.77	362.497	883.239	6	23	234	8	21	25	232	236	5	11	657	386	85.0499	0.957528	1	1	-1
4517.86	23385.5	5360.22	498.949	202.53	18526	213.212	213.212	590.764	329.83	327.456	890.558	357.855	345.532	860.223	6	29	147	19	27	31	145	149	16	22	654	391	84.7226	0.953844	1	1	-1
7420.94	15099.7	5912.62	501.058	199.308	20031	216.704	216.704	597.221	336.584	335.978	877.195	380.94	379.719	812.617	7	47	95	21	45	49	93	97	18	24	632	363	87.3139	0.983018	1	1	-1
7605.76	35892.4	2368.25	503.267	197.511	20885.2	217.322	217.322	599.306	343.767	334.398	893.261	405.758	372.435	868.245	7	48	225	9	46	50	223	227	6	12	633	372	88.326	0.994413	1	1	-1
8923.5	5219.58	4717.59	494.945	202.962	19822.5	215.436	215.436	581.025	309.248	303.947	879.705	283.5	259.581	817.59	6	57	34	17	55	59	32	36	14	20	645	374	85.3618	0.96104	1	1	-1
8894.41	31195.4	4887.01	505.576	203.096	24561	212.938	212.938	580.169	302.181	318.349	844.845	254.409	315.444	687.012	7	57	196	18	55	59	194	198	15	21	665	384	88.1848	0.992822	1	1	-1
8894.42	39146.2	5337.48	496.917	199.977	21491.2	217.265	217.265	585.916	302.154	305.532	884.063	254.419	266.187	837.484	7	57	246	19	55	59	244	248	16	22	641	376	86.3578	0.972253	1	1	-1
10020.2	33322.1	6945.26	510.364	200.86	20183.6	214.774	214.774	583.613	303.58	331.429	911.13	260.178	362.093	945.264	6	64	209	24	62	66	207	211	21	27	659	392	87.7489	0.987915	1	1	-1
11579.7	26151.6	6731.19	485.958	199.496	24676.5	216.609	216.609	601.731	335.894	339.119	933.945	379.718	391.568	1031.19	7	73	164	23	71	75	162	166	20	26	620	356	85.6517	0.964304	1	1	-1
12325.2	14503.8	3634.55	495.486	203.661	22653.6	213.879	213.879	587.834	321.065	305.253	907.628	325.167	263.788	934.552	6	78	92	13	76	80	90	94	10	16	667	394	84.4887	0.951211	1	1	-1
17180.3	30904	5647.65	506.838	203.631	18807.5	211.479	211.479	581.737	336.291	326.307	885.92	380.259	343.95	847.646	6	108	194	20	106	110	192	196	17	23	649	389	86.3897	0.972613	1	1	-1
17497.2	6830.32	7136.16	487.159	197.461	25104.5	222.279	222.279	594.718	335.703	306.264	882.598	377.16	270.32	836.16	7	110	44	25	108	112	42	46	22	28	649	380	84.8694	0.955496	1	1	-1
