FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 25-Sep-2021 
COMMENT	
IMG_Raw	Poiss_300spots_bg_200_2_I_300_0_img0.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_300spots_bg_200_2_I_300_0_img0__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
300	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
17108.1	7569.51	1494.92	8.69161	200.235	1231.3	491.999	491.999	578.54	600.304	600.827	900.152	608.065	669.509	894.916	13	58	26	6	56	60	24	28	3	9	213	5	1.17296	0.699158	1	1	-1
24760.4	29984.1	2359.78	6.64694	201.8	1282.03	492	492	824.502	601.46	599.849	901.636	760.417	584.143	1159.78	18	83	101	8	81	85	99	103	5	11	213	5	1.20894	0.720608	1	1	-1
45424.5	34028.4	1769.42	9.68707	199.86	1280.48	463.18	463.18	594.283	601.234	601.04	899.4	724.51	728.419	869.419	11	152	114	7	150	154	112	116	4	10	212	5	1.20772	0.719879	1	1	-1
59742.3	62562.3	1740.48	8.7626	202.068	1612.81	492	492	415.104	600.118	599.908	898.565	642.283	462.335	840.476	17	200	210	7	198	202	208	212	4	10	213	6	1.49708	0.892356	1	1	-1
56297.5	69898.7	1545.12	9.65662	200.523	1425.38	492	492	406.246	599.358	599.975	901.259	497.461	598.722	945.118	12	189	234	6	187	191	232	236	3	9	214	5	1.32174	0.787842	1	1	-1
38019.6	4356.11	1713.28	5.31032	201.658	1056.21	492	492	504.626	599.485	600.903	899.637	519.552	756.107	813.282	14	128	15	7	126	130	13	17	4	10	212	4	0.892295	0.531865	1	1	-1
39969.7	9298.93	1836.51	17.8772	202.135	1468.76	197.816	197.816	234.098	599.323	599.543	901.945	669.73	298.934	936.514	11	134	33	7	132	136	31	35	4	10	216	4	1.116	0.665207	1	1	-1
57224.8	15807.3	2099.17	9.21463	200.04	1029.24	491.244	491.244	559.297	599.265	598.91	900.262	524.768	507.332	899.175	22	192	54	8	190	194	52	56	5	11	211	5	1.1468	0.683564	1	1	-1
71265.3	15874.2	1592.2	5.6365	201.518	1046.78	492	492	366.837	600.017	599.425	900.609	465.27	574.207	992.198	23	239	54	6	237	241	52	56	3	9	210	4	0.876626	0.522525	1	1	-1
11156.3	20260.6	1889.05	431.477	202.899	1310.71	47.4036	47.4036	48.9494	599.78	600.675	900.709	356.336	460.587	989.05	54	39	69	7	37	41	67	71	4	10	217	4	0.908562	0.541561	1	1	-1
44868	21237.5	1896.26	7.05522	200.283	928.188	492	492	592.332	598.908	599.805	900.778	468.041	537.543	996.264	16	151	72	7	149	153	70	74	4	10	213	4	0.988871	0.589431	1	1	-1
2067.09	23773.7	1791.79	7.79141	200.7	1228.97	492	492	478.89	599.932	600.684	899.873	567.091	673.664	891.791	11	8	80	7	6	10	78	82	4	10	211	5	1.13369	0.675753	1	1	-1
15962.7	25177.8	1570.77	5.79005	201.846	1061.6	417.953	417.953	355.553	599.873	599.806	900.837	662.726	577.789	970.775	20	54	85	6	52	56	83	87	3	9	211	4	0.944537	0.563005	1	1	-1
74007.8	35761.7	1711.81	7.49167	200.345	1214.71	492	492	547.311	599.087	600.321	899.129	507.763	661.676	811.807	14	248	120	7	246	250	118	122	4	10	213	4	1.11858	0.666748	1	1	-1
32896.1	40226.4	1597.77	6.98343	200.792	1242.94	465.509	465.509	484.922	599.755	600.169	898.3	496.055	626.436	697.77	13	111	135	7	109	113	133	137	4	10	212	4	0.986676	0.588123	1	1	-1
69256.1	45748.4	1808.97	6.74878	200.619	1327.67	489.297	489.297	492.451	599.814	598.967	900.212	556.135	448.391	908.966	24	232	154	7	230	234	152	156	4	10	216	4	1.02696	0.612134	1	1	-1
72629.8	49580.3	1751.74	7.46427	201.51	1129.03	492	492	281.887	600.093	599.62	899.358	629.777	680.33	851.74	17	243	166	7	241	245	164	168	4	10	212	4	1.04207	0.621141	1	1	-1
68708.2	52248	2161.08	8.15023	200.494	1346.01	492	492	634.391	599.848	600.379	900.565	608.197	647.983	961.08	15	230	175	8	228	232	173	177	5	11	214	5	1.07676	0.641817	1	1	-1
54256.7	59003.1	1644.05	7.42666	200.584	1131.82	492	492	509.108	599.958	599.383	898.199	556.681	503.095	744.05	13	182	198	7	180	184	196	200	4	10	214	4	1.05737	0.63026	1	1	-1
38627.6	65446.6	2043.69	11.6272	201.961	1398.61	492	492	423.766	599.147	600.77	899.13	527.557	646.646	843.693	14	130	219	8	128	132	217	221	5	11	218	8	1.66401	0.991858	1	1	-1
36878.9	5278.49	2563.7	6.73735	202.32	1456.94	492	492	672.711	600.059	598.978	898.819	578.851	478.493	763.705	21	124	19	10	122	126	17	21	7	13	213	6	1.22931	0.732747	1	1	-1
2766.13	7095.6	2263.78	7.02839	200.751	1073.09	492	492	518.036	600.118	599.518	902.214	666.128	495.597	1063.78	14	10	25	8	8	12	23	27	5	11	212	4	1.07526	0.640926	1	1	-1
19863.2	12630	1970.91	5.92423	200.883	1094.68	492	492	522.711	600.702	600.101	898.824	663.181	630.049	770.912	20	67	43	8	65	69	41	45	5	11	211	4	0.923938	0.550727	1	1	-1
31971.3	13496.2	2042.57	6.94545	200.71	1018.86	491.999	491.999	573.146	599.4	600.034	899.848	471.283	596.182	842.57	18	108	46	8	106	110	44	48	5	11	212	5	1.02664	0.611944	1	1	-1
68467.4	21719.1	2008.8	6.76843	200.515	1167.53	492	492	574.759	600.448	600.871	899.273	667.352	719.056	808.798	15	229	73	8	227	231	71	75	5	11	214	4	0.946587	0.564226	1	1	-1
28205.5	21993.9	1934.26	5.75382	200.722	1280.53	492	492	584.467	599.535	600.601	899.027	605.457	693.924	734.259	23	95	74	8	93	97	72	76	5	11	211	4	0.939028	0.559721	1	1	-1
34343.5	23445.2	2074.93	8.37688	201.442	1233.41	453.914	453.914	334.558	599.282	600.194	899.552	443.523	645.197	874.93	12	116	79	8	114	118	77	81	5	11	215	5	1.14447	0.68218	1	1	-1
69597.5	27915.8	2090.42	18.5316	202.215	1202.45	166.287	166.287	201.891	599.882	601.219	898.502	597.465	615.789	890.416	13	233	94	8	231	235	92	96	5	11	216	4	1.01571	0.605426	1	1	-1
31328.3	44429.1	2071.71	7.17311	201.561	1020.17	341.032	341.032	387.37	600.533	600	900.525	728.293	629.119	871.711	21	105	149	8	103	107	147	151	5	11	214	4	0.918984	0.547774	1	1	-1
14594.6	46226.7	2228.03	8.45615	201.049	970.639	414.651	414.651	419.878	598.833	599.586	898.072	494.572	626.74	728.035	13	50	155	9	48	52	153	157	6	12	211	5	1.20549	0.718549	1	1	-1
10349.7	46503.1	2072.91	6.4347	200.826	1133.52	492	492	484.432	600.618	600.11	899.653	749.711	603.121	872.912	13	35	156	8	33	37	154	158	5	11	213	4	0.94224	0.561636	1	1	-1
51731.8	48687	2447.97	9.58581	201.917	1847.45	492	492	487.61	600.854	600.402	901.198	731.765	687.013	947.969	12	173	163	9	171	175	161	165	6	12	214	7	1.51626	0.903789	1	1	-1
35658.7	53377.7	1834.62	7.47634	201.986	1261.77	492	492	188.859	599.696	599.721	898.622	558.656	577.658	934.62	22	120	179	7	118	122	177	181	4	10	211	4	1.06344	0.633878	1	1	-1
33613.1	57822.9	2251.32	9.52049	199.656	1060.86	492	492	587.355	600.059	599.467	897.963	613.074	522.856	751.322	14	113	194	9	111	115	192	196	6	12	213	5	1.26317	0.752931	1	1	-1
50900.6	62641.9	2089.94	8.75119	200.511	1051.19	492	492	484.211	599.282	599.637	900.329	500.559	541.855	889.937	13	171	210	8	169	173	208	212	5	11	211	5	1.19597	0.712875	1	1	-1
17980.4	62879.2	2190.57	8.32729	201.656	1183.61	358.105	358.105	353.241	600.304	599.341	900.287	580.359	479.227	990.565	15	61	211	8	59	63	209	213	5	11	210	5	1.00272	0.597687	1	1	-1
41942.9	63517	1946.85	4.99569	200.946	1168.07	492	492	578.657	599.526	599.501	899.052	542.868	516.987	746.846	17	141	213	8	139	143	211	215	5	11	212	4	0.82796	0.493517	1	1	-1
53975.8	70774.1	1868.76	7.51951	200.25	1123.52	492	492	509.068	600.135	599.602	900.22	575.804	574.054	968.76	16	181	237	7	179	183	235	239	4	10	211	4	1.04616	0.623578	1	1	-1
10647.9	71066.4	2128.85	5.40962	201.543	1142.58	393.583	393.583	588.827	598.8	600.152	900.11	447.881	566.429	928.85	26	37	238	8	35	39	236	240	5	11	210	4	0.908562	0.541561	1	1	-1
72672.3	14377.5	2441.06	7.77343	201.303	957.295	412.678	412.678	481.495	600.599	599.764	900.734	672.276	577.522	941.061	10	243	49	9	241	245	47	51	6	12	210	5	1.05086	0.626379	1	1	-1
53161.4	18006.8	2305.11	7.38888	200.537	1114.52	492	492	446.729	600.55	599.949	898.73	661.393	606.845	805.107	14	178	61	9	176	180	59	63	6	12	211	4	1.09449	0.652384	1	1	-1
39119.1	19583.3	2441.95	8.32343	199.856	959.127	492	492	676.843	598.521	600.465	900.668	419.066	683.307	941.947	14	132	66	9	130	134	64	68	6	12	214	4	1.09034	0.649911	1	1	-1
20827.7	24319.1	2371.1	6.59068	200.736	1005.54	492	492	534.342	599.104	600.144	899.197	427.705	619.102	871.1	14	71	82	9	69	73	80	84	6	12	211	4	1.01409	0.604462	1	1	-1
