FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_300spots_bg_200_2_I_300_0_img0.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_300spots_bg_200_2_I_300_0_img0__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
100	200	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
334.189	15935.9	1710.02	25.8503	200.215	1462.21	99.1795	99.1795	425.38	200.853	200.721	599.038	234.189	235.922	510.018	7	4	160	10	2	6	158	162	7	13	228	9.90541	2.50272	0.567766	1	1	-1
318.774	21756.5	4276.19	28.3932	199.939	1373.76	93.5107	93.5107	375.765	200.367	199.161	598.042	218.774	156.487	476.194	8	4	219	23	2	6	217	221	20	26	228	10.05	2.55827	0.580368	1	1	-1
514.486	7564.95	2061.27	29.9733	199.807	1105.09	94.7709	94.7709	423.568	200.305	199.239	601.303	214.486	164.953	661.271	6	6	77	11	4	8	75	79	8	14	227	11.1143	2.8438	0.645145	1	1	-1
460.806	15846.7	3239.96	27.2543	199.609	1415.59	100.62	100.62	425.709	199.169	200.921	600.403	160.806	246.684	639.961	7	6	159	17	4	8	157	161	14	20	222	8.74833	2.61342	0.59288	1	1	-1
703.007	16931.5	4752.95	29.5207	200.254	1164.32	96.2276	96.2276	405.522	200.042	200.829	599.347	203.007	231.49	552.954	6	8	170	25	6	10	168	172	22	28	232	10.8136	2.73977	0.621545	1	1	-1
878.105	1580.69	4978.33	25.5711	199.264	1097.94	104.945	104.945	438.721	199.697	199.689	602.472	178.105	180.69	778.326	7	10	17	25	8	12	15	19	22	28	221	9.07386	2.49672	0.566406	1	1	-1
931.519	6010.73	4533.61	29.4757	200.609	1496.76	89.8641	89.8641	376.812	200.621	200.291	598.361	231.519	210.734	533.609	7	10	61	24	8	12	59	63	21	27	226	11.4383	2.5912	0.587838	1	1	-1
932.954	10909.1	4404.23	30.599	199.846	1530.18	95.8561	95.8561	350.713	200.812	200.157	600.375	232.954	209.076	604.231	6	10	110	23	8	12	108	112	20	26	229	11.4477	2.65708	0.602785	1	1	-1
1032.9	13534.9	4000.18	30.1481	199.715	1385.74	97.2169	97.2169	400.492	200.8	200.66	599.978	232.897	234.871	600.179	6	11	136	21	9	13	134	138	18	24	230	10.754	2.76425	0.627098	1	1	-1
1146.03	691.19	3360.59	25.5802	199.85	1296.46	104.79	104.79	371.77	200.994	199.737	599.149	246.027	191.19	560.592	7	12	8	18	10	14	6	10	15	21	228	9.6401	2.34691	0.532419	1	1	-1
1272.09	20377.6	3307.96	24.305	199.104	1358.75	118.481	118.481	418.959	199.461	199.561	598.541	172.092	177.613	507.96	7	14	205	18	12	16	203	207	15	21	222	8.89147	2.41352	0.547531	1	1	-1
1454.64	7289.01	2484.84	27.589	199.634	1540.83	102.384	102.384	420.372	201.161	199.975	601.309	254.636	189.012	684.843	8	15	74	13	13	17	72	76	10	16	227	9.71477	2.69287	0.610904	1	1	-1
1516.96	10517.9	2145.33	29.2795	200.363	1432.54	97.1006	97.1006	349.047	200.252	200.364	602.601	216.955	217.863	745.327	8	16	106	11	14	18	104	108	8	14	225	11.8085	2.57024	0.583084	1	1	-1
1648.22	8253.61	2958.3	35.6316	200.605	1418.54	88.8614	88.8614	305.66	200.822	199.08	598.971	248.223	153.608	558.297	8	17	84	16	15	19	82	86	13	19	232	10.5102	2.76915	0.628209	1	1	-1
1581.41	14439.7	2989.9	25.9771	200.364	1332.79	97.7507	97.7507	378.865	199.756	200.7	602.744	181.41	239.684	789.9	9	17	145	15	15	19	143	147	12	18	224	9.26554	2.30535	0.522991	1	1	-1
