FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_300spots_bg_200_2_I_300_0_img1.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_300spots_bg_200_2_I_300_0_img1__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
100	200	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
326.215	16699.4	1356.96	25.1129	199.958	1227.25	99.5393	99.5393	427.925	200.512	199.961	599.513	226.215	199.446	556.964	6	4	168	8	2	6	166	170	5	11	223	9.48133	2.45384	0.685116	1	1	-1
484.006	23585.7	1650.76	29.3214	200.108	1583.28	102.906	102.906	372.344	199.791	199.805	601.244	184.006	185.66	650.757	6	6	237	9	4	8	235	239	6	12	228	11.1131	2.70645	0.755644	1	1	-1
654.036	8115.5	2886.89	24.2412	199.813	1009.33	107.356	107.356	378.7	200.955	200.305	601.098	254.036	215.499	686.895	7	7	82	15	5	9	80	84	12	18	220	8.36215	2.24164	0.625869	1	1	-1
669.58	1048.01	3272.99	28.5476	200.126	1297.79	94.3485	94.3485	367.056	199.336	200.65	597.405	169.58	248.013	472.986	8	8	11	18	6	10	9	13	15	21	224	9.21991	2.52885	0.706058	1	1	-1
884.591	14372.2	4609.68	23.6809	199.722	1535.65	107.073	107.073	406.219	199.784	199.499	600.174	184.591	172.165	609.676	6	10	145	24	8	12	143	147	21	27	222	9.38901	2.29528	0.640846	1	1	-1
1238.66	21527.2	3494.94	24.9063	199.616	1392.34	105.826	105.826	398.035	200.79	200.558	601.339	238.664	227.155	694.941	7	13	216	18	11	15	214	218	15	21	223	9.32641	2.38321	0.665397	1	1	-1
1324.8	19858.1	1890.57	25.5304	199.525	1384.41	104.605	104.605	408.777	200.403	199.089	598.218	224.803	158.052	490.573	8	14	200	11	12	16	198	202	8	14	224	8.94694	2.43355	0.67945	1	1	-1
1343.44	13928.8	1208.58	25.807	198.717	1332.46	114.09	114.09	427.072	198.762	200.706	600.269	143.439	228.833	608.585	7	15	140	7	13	17	138	142	4	10	222	8.20429	2.58727	0.722369	1	1	-1
1421.44	20869.5	4114.1	28.491	199.963	1908.98	98.0007	98.0007	383.421	200.507	199.317	601.774	221.439	169.476	714.099	8	15	210	21	13	17	208	212	18	24	240	10.8609	2.65664	0.741737	1	1	-1
1448.46	24630.3	4859.19	24.8543	200.341	1445.69	103.81	103.81	395.418	200.835	200.377	600.894	248.457	230.341	659.188	8	15	247	25	13	17	245	249	22	28	221	8.28896	2.41195	0.673422	1	1	-1
