FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_1_I_300_0_img0.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_1_I_300_0_img0__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
300	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
2881.19	27105.7	5680.13	7.90731	200.318	711.325	487.852	487.852	536.653	601.345	600.948	902.259	781.185	705.682	1180.13	16	10	91	19	8	12	89	93	16	22	213	2.72862	0.654266	0.855901	1	1	-1
4853.68	47179.2	4527.54	7.631	199.864	651.373	492	492	641.361	600.475	600.653	895.896	653.68	679.233	327.539	15	17	158	18	15	19	156	160	15	21	209	2.30279	0.70204	0.918398	1	1	-1
17065.6	13937.9	6626.39	7.64059	200.838	638.799	492	492	418.282	599.789	600.888	897.395	565.596	737.895	626.388	14	58	47	24	56	60	45	49	21	27	213	2.28611	0.53636	0.701658	1	1	-1
17614	9804.27	1871.16	6.61564	200.118	554.952	492	492	559.796	601.12	601.264	898.515	814.032	804.266	671.16	14	59	33	8	57	61	31	35	5	11	209	2.05053	0.546673	0.715149	1	1	-1
19950.3	49245.8	3519.85	5.75578	200.821	583.197	492	492	587.243	599.061	600.558	899.298	450.3	645.816	819.85	15	68	165	13	66	70	163	167	10	16	210	2.00863	0.508238	0.66487	1	1	-1
20580.9	4715.39	7266.89	8.64757	200.183	611.73	448.666	448.666	572.309	601.269	599.281	900.66	780.913	515.393	966.895	12	69	17	25	67	71	15	19	22	28	212	2.91225	0.764418	1	1	1	-1
22377.2	10424.5	5979.88	6.80864	200.579	636.017	492	492	554.73	601.15	599.442	899.746	777.201	524.495	879.882	16	75	36	21	73	77	34	38	18	24	210	1.97411	0.585277	0.765651	1	1	-1
23976.1	56380.6	1997.34	7.87085	200.169	558.569	492	492	557.05	601.803	599.763	899.17	876.139	580.615	797.339	13	80	189	8	78	82	187	191	5	11	213	1.89662	0.61233	0.801041	1	1	-1
24286	12425.5	4750.7	7.05929	200.374	466.197	492	492	533.818	599.949	600.653	895.717	586.016	725.543	250.698	16	82	42	19	80	84	40	44	16	22	210	2.16467	0.532405	0.696484	1	1	-1
27833.1	62781.3	5503.56	7.12747	200.825	697.615	492	492	546.676	601.336	600.381	896.246	833.051	681.315	403.557	15	93	210	21	91	95	208	212	18	24	212	2.42252	0.602542	0.788236	1	1	-1
40789.4	48761.7	6739.95	7.08915	200.888	680.941	438.077	438.077	575.52	599.949	599.223	901.234	589.408	461.702	1039.95	15	137	164	23	135	139	162	166	20	26	211	2.65725	0.596115	0.77983	1	1	-1
44537.1	52055.6	1683.46	5.20281	200.456	480.719	492	492	594.222	600.806	600.746	898.914	737.074	755.551	783.463	17	149	174	7	147	151	172	176	4	10	209	2.14753	0.478589	0.626084	1	1	-1
45118.5	27843	4662.61	7.97931	200.452	652.658	468.509	468.509	473.461	598.941	601.203	898.848	418.463	842.989	762.607	11	152	93	17	150	154	91	95	14	20	211	2.294	0.650432	0.850886	1	1	-1
47061.5	73821.8	4521.87	7.25029	200.357	584.789	491.999	491.999	594.615	597.926	600.212	900	261.498	621.798	921.871	14	159	247	16	157	161	245	249	13	19	212	2.38778	0.653652	0.855098	1	1	-1
50071.4	31232.5	5907.24	8.82131	200.013	646.54	492	492	537.638	599.865	600.406	896.124	571.401	632.458	507.236	13	168	105	22	166	170	103	107	19	25	212	2.05523	0.65809	0.860904	1	1	-1
51219.6	65001.1	1476.6	7.05318	200.889	635.936	492	492	533.258	601.555	599.383	897.347	819.637	501.06	576.604	14	171	218	7	169	173	216	220	4	10	212	2.13404	0.589689	0.771423	1	1	-1
53009.4	25758.1	3033.23	7.3213	200.128	731.851	492	492	574.39	599.094	600.051	900.762	509.438	558.134	933.227	19	178	87	11	176	180	85	89	8	14	212	2.9649	0.692955	0.906513	1	1	-1
54203.2	13329	5622.41	7.40923	200.306	647.287	492	492	570.254	599.273	601.074	899.399	503.199	729.022	822.406	13	182	45	20	180	184	43	47	17	23	210	2.58707	0.629896	0.824021	1	1	-1
57298.4	15805.9	5862.19	9.03882	201.098	645.762	421.923	421.923	394.6	600.085	599.611	901.208	598.423	505.862	1062.19	14	192	54	20	190	194	52	56	17	23	212	3.29986	0.683369	0.893974	1	1	-1
58944.4	74063.6	6470.52	8.08898	200.353	623.509	492	492	549.574	599.146	601.751	898.461	444.351	863.563	770.52	14	198	247	23	196	200	245	249	20	26	212	2.2667	0.670161	0.876694	1	1	-1
60564.4	27241.8	2232.08	8.52671	200.197	508.811	489.627	489.627	473.636	601.5	601.669	901.559	864.392	841.817	1032.08	15	202	91	8	200	204	89	93	5	11	210	2.27734	0.682733	0.893142	1	1	-1
61358.3	29660.1	1869.47	8.46708	201.924	712.86	328.243	328.243	265.983	600.465	600.135	901.294	458.28	560.055	969.467	16	206	100	7	204	208	98	102	4	10	211	2.38204	0.53509	0.699997	1	1	-1
62617.5	65936.6	3769.58	7.49721	200.716	678.054	492	492	526.348	601.479	599.907	901.757	817.521	536.605	1069.58	17	209	221	13	207	211	219	223	10	16	214	2.4635	0.609719	0.797626	1	1	-1
62756.1	7149.69	3706.27	7.39852	200.324	486.975	492	492	559.794	600.668	599.526	898.131	656.069	549.688	706.269	16	210	25	14	208	212	23	27	11	17	211	2.62721	0.615621	0.805346	1	1	-1
64512.4	59796.8	7193.57	6.99974	200.74	566.103	492	492	467.918	598.51	598.908	899.881	312.377	396.803	893.572	15	217	201	25	215	219	199	203	22	28	210	1.8568	0.553807	0.724482	1	1	-1
66686.5	59774.7	6362.62	6.16166	200.68	573.666	492	492	480.505	600.466	598.958	898.178	686.54	374.708	662.616	14	223	201	23	221	225	199	203	20	26	209	1.6859	0.461212	0.60335	1	1	-1
67368.9	64079.6	2408.16	7.44856	201.369	560.738	437.746	437.746	344.885	599.882	601.007	899.89	468.933	779.64	908.163	10	226	214	9	224	228	212	216	6	12	210	1.97094	0.569668	0.745231	1	1	-1
72342.8	73658.9	2178.46	7.77938	200.22	528.401	492	492	554.164	598.527	599.052	900.99	342.839	458.871	978.459	16	243	247	8	241	245	245	249	5	11	211	2.0719	0.589631	0.771347	1	1	-1
72936	34336.8	5989.53	7.44436	200.792	723.974	471.412	471.412	484.478	600.254	600.811	900.068	636.016	736.784	889.529	16	244	115	21	242	246	113	117	18	24	213	2.81527	0.66822	0.874156	1	1	-1
73731.5	27024.7	6739.2	6.66379	199.95	569.505	492	492	610.944	601.367	601.724	898.548	831.453	924.667	739.203	17	246	90	24	244	248	88	92	21	27	210	2.01143	0.601383	0.78672	1	1	-1
SPOTS_END
