FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_2_I_300_0_img2.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_2_I_300_0_img2__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
100	200	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
1977.22	4248.05	1847.08	8.16465	199.302	1247.97	172.856	172.856	406.951	199.698	200.274	598.62	177.22	248.048	447.084	10	21	43	11	19	23	41	45	8	14	212	2.43296	0.878733	0.961886	1	1	-1
2545.68	3787.95	3968.34	7.89492	199.498	1270.87	163.641	163.641	461.03	200.356	200.664	601.165	245.682	287.955	768.344	9	26	38	20	24	28	36	40	17	23	215	3.43951	0.827259	0.905541	1	1	-1
2512.94	15153	2836.51	7.53326	199.635	1148.81	209.486	209.486	385.566	200.127	200.397	600.079	212.937	253	636.51	8	26	152	15	24	28	150	154	12	18	214	2.12701	0.691638	0.757086	1	1	-1
2866.75	16175	2020.38	7.52526	200.163	1182.84	175.009	175.009	322.347	200.506	200.373	600.164	266.752	275.028	620.383	12	29	162	11	27	31	160	164	8	14	213	2.63649	0.683728	0.748428	1	1	-1
3685.43	17476.1	3759.28	7.48041	198.708	1111.3	280.315	280.315	508.592	199.921	200.782	599.735	185.434	376.063	559.278	11	38	174	20	36	40	172	176	17	23	211	2.42066	0.646462	0.707636	1	1	-1
5000.97	13960.3	1546.97	7.91063	200.883	1052.65	141.163	141.163	350.965	200.062	199.724	598.134	200.971	160.332	346.965	12	51	141	10	49	53	139	143	7	13	214	2.86654	0.814809	0.891913	1	1	-1
5109.52	4008.36	3977.82	9.7397	200.243	1083.14	160.141	160.141	312.357	200.192	200.713	599.65	209.523	308.361	577.818	8	52	40	21	50	54	38	42	18	24	212	3.20133	0.906951	0.992774	1	1	-1
5449.83	4282.89	2366.42	7.39657	199.293	1096.37	187.517	187.517	478.14	200.353	199.896	601.356	249.833	182.89	766.416	8	55	44	12	53	57	42	46	9	15	211	3.30384	0.801164	0.876977	1	1	-1
5789.31	6908.52	2935.55	7.91287	201.451	1163.71	136.125	136.125	279.981	200.369	199.977	599.11	289.315	208.518	535.553	13	58	70	16	56	60	68	72	13	19	212	3.22741	0.738029	0.807868	1	1	-1
6513.6	3560	3410.97	7.98578	200.088	1246.52	129.261	129.261	301.606	200.695	200.153	600.062	313.601	260.004	610.974	10	65	36	18	63	67	34	38	15	21	211	2.47816	0.797608	0.873084	1	1	-1
