FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_2_I_300_0_img1.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_2_I_300_0_img1__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
100	200	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
787.663	17709.3	1836.23	6.67404	199.58	955.628	250.724	250.724	469.616	200.586	200.108	602.631	387.663	209.345	1036.23	12	7	178	8	5	9	176	180	5	11	209	2.32569	0.719029	0.800367	1	1	-1
662.473	532.85	4334.39	8.74036	199.142	1309.42	190.046	190.046	494.767	199.704	200.225	601.301	162.473	232.85	734.391	8	8	6	22	6	10	4	8	19	25	216	3.05281	0.885846	0.986054	1	1	-1
2343.55	5969.8	1296.16	7.49834	199.438	836.556	234.971	234.971	408.309	200.211	199.806	601.166	243.552	169.795	696.156	10	24	61	7	22	26	59	63	4	10	210	2.8325	0.675828	0.752278	1	1	-1
3104.66	24596.6	1244.69	7.18755	200.439	1156.06	176.638	176.638	324.96	200.034	200.474	598.702	204.66	296.555	444.688	10	32	246	8	30	34	244	248	5	11	214	2.53907	0.64159	0.714167	1	1	-1
3809.19	22752.3	1731.71	8.82024	199.996	1033.17	160.096	160.096	352.972	200.003	200.876	599.508	209.19	352.304	531.705	8	39	227	10	37	41	225	229	7	13	212	3.09602	0.856405	0.953283	1	1	-1
4401.03	8017.24	2634.78	10.404	201.248	921.145	87.6576	87.6576	297.519	200.503	200.025	600.865	301.033	217.238	634.784	17	44	81	14	42	46	79	83	11	17	214	3.33974	0.800871	0.891466	1	1	-1
4997.92	6303.91	3653.48	7.65402	201.135	1113.81	173.985	173.985	247.336	200.442	199.927	598.428	297.916	203.912	453.483	11	50	64	20	48	52	62	66	17	23	211	3.09477	0.6419	0.714512	1	1	-1
5081.05	1747.12	938.621	6.88284	200.079	1054.65	195.419	195.419	371.295	200.372	199.642	599.825	281.052	147.116	538.621	9	51	19	6	49	53	17	21	3	9	211	2.1241	0.749536	0.834324	1	1	-1
5131.12	5230.05	4887.61	6.30795	200.648	1028.19	198.26	198.26	302.527	200.062	200.121	600.913	231.122	230.053	687.613	10	52	53	25	50	54	51	55	22	28	212	2.33163	0.627707	0.698714	1	1	-1
5777.91	14694.8	2866.46	7.34743	200.153	1069.51	198.134	198.134	361.348	199.884	200.502	602.24	177.912	294.782	866.461	9	59	147	14	57	61	145	149	11	17	215	2.14511	0.678174	0.75489	1	1	-1
