FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_8_I_300_0_img1.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_8_I_300_0_img1__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
1109.81	6033.09	1469.42	32.7383	200.9	9432.86	129.257	129.257	525.764	319.588	318.965	899.269	309.808	273.094	869.423	10	8	39	6	6	10	37	41	3	9	228	11.2487	3.21181	0.777703	1	1	-1
2567.11	18985.4	5846.77	34.2683	201.634	12349.4	124.217	124.217	389.936	320.739	319.458	898.261	327.109	265.427	746.77	13	17	120	21	15	19	118	122	18	24	232	11.1477	3.14045	0.760424	1	1	-1
3634.24	23536.9	6486.83	23.6415	201.385	11831.4	128.958	128.958	858.298	320.188	320.376	901.434	274.24	336.872	1086.83	11	24	148	22	22	26	146	150	19	25	231	9.50651	2.89519	0.701036	1	1	-1
4067.66	8599.75	6964.09	41.2375	199.415	11259.7	133.726	133.726	613.411	321.245	318.778	899.135	387.656	279.755	964.091	8	26	55	24	24	28	53	57	21	27	232	14.3509	4.12986	1	1	1	-1
4025.42	36715	1735.09	31.0069	199.587	10336.2	137.3	137.3	564.335	320.509	318.015	898.127	345.417	234.998	835.086	11	26	231	7	24	28	229	233	4	10	235	11.3997	3.3581	0.813127	1	1	-1
4501.67	7430.54	3823.26	30.2932	199.568	11109.3	158.378	158.378	546.584	319.551	321.158	893.538	341.674	390.542	523.265	11	29	47	15	27	31	45	49	12	18	231	10.6369	2.98245	0.722166	1	1	-1
9481.77	30743.5	4383.89	38.3138	200.058	13063.7	136.018	136.018	624.763	321.059	319.294	898.199	361.765	343.483	783.892	8	60	193	16	58	62	191	195	13	19	242	13.8347	3.74165	0.905998	1	1	-1
9977.31	15785.5	3375.35	33.2743	197.709	11081.7	167.534	167.534	610.816	321.708	318.251	894.876	377.308	265.536	675.348	9	63	100	13	61	65	98	102	10	16	238	12.587	3.38362	0.819305	1	1	-1
10086.7	8823.88	6779.12	24.2426	197.025	11410.4	218.666	218.666	770.294	320.17	320.532	905.216	326.719	343.882	1079.12	12	64	56	23	62	66	54	58	20	26	230	11.59	3.06149	0.741306	1	1	-1
10893.1	19183	3364.15	32.135	200.897	11687.6	137.323	137.323	464.118	319.189	320.045	903.377	333.079	302.971	964.149	8	69	121	12	67	71	119	123	9	15	227	12.2894	3.01218	0.729366	1	1	-1
14446.3	32396.4	2863.47	32.3478	199.35	12037.8	152.635	152.635	563.469	321.588	322.238	896.636	366.308	396.42	763.47	11	91	203	11	89	93	201	205	8	14	233	13.3237	3.59574	0.870668	1	1	-1
19222.7	24543.9	5883.19	28.7244	199.669	11524.9	150.342	150.342	579.248	320.171	321.774	902.408	342.678	383.928	1083.19	8	121	154	20	119	123	152	156	17	23	237	10.0353	3.38897	0.8206	1	1	-1
20247.4	37409.8	7237.21	30.2126	201.539	9931.72	156.284	156.284	500.006	318.003	319.586	899.883	247.403	289.765	937.211	11	128	235	25	126	130	233	237	22	28	234	11.8675	3.05107	0.738783	1	1	-1
23018.6	29015.8	1706.27	26.9785	197.156	11929.4	184.864	184.864	758.798	319.375	321.635	898.939	298.571	375.758	806.268	9	145	182	7	143	147	180	184	4	10	236	13.0693	3.60536	0.872998	1	1	-1
