FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_1_I_300_0_img2.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_1_I_300_0_img2__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
2183.56	28167.1	4589.22	25.296	199.972	694.883	165.776	165.776	611.248	319.002	320.103	901.342	263.56	327.088	989.218	7	15	177	16	13	17	175	179	13	19	229	9.29528	2.42553	0.819037	1	1	-1
2510.62	34041.5	7393.28	29.2985	200.297	713.972	140.657	140.657	669.402	318.993	319.248	898.649	270.62	281.471	793.28	7	17	214	26	15	19	212	216	23	29	226	10.95	2.68281	0.905916	1	1	-1
4650.91	37992	2716.14	31.844	200.092	772.007	143.049	143.049	649.447	320.322	321.52	900.47	330.906	391.999	916.137	7	30	238	10	28	32	236	240	7	13	232	11.3186	2.96144	1	1	1	-1
7051.41	5532.41	3117.9	22.9393	199.168	696.083	178.284	178.284	687.374	320.202	318.66	901.958	331.408	252.414	1017.9	7	45	36	11	43	47	34	38	8	14	221	8.42035	2.26844	0.765992	1	1	-1
9228.64	34151.5	5839.16	24.8892	199.774	882.242	164.809	164.809	677.103	319.006	318.303	901.805	268.64	231.527	1039.16	7	59	215	20	57	61	213	217	17	23	225	8.57957	2.4606	0.830879	1	1	-1
10387.9	2367.69	4031.92	27.5498	199.845	738.084	161.914	161.914	585.952	319.937	319.391	897.113	307.94	287.691	731.918	7	66	16	15	64	68	14	18	12	18	226	10.7193	2.54118	0.858091	1	1	-1
11395	17454.5	6390.35	23.5685	199.741	839.369	169.175	169.175	676.719	320.824	320.421	896.994	355.016	334.492	690.345	9	72	110	23	70	74	108	112	20	26	223	9.25454	2.2777	0.76912	1	1	-1
11467.3	13469.8	6733.52	29.9642	200.101	1007.6	158.918	158.918	504.482	319.06	320.734	897.196	267.328	349.811	733.517	8	73	85	24	71	75	83	87	21	27	232	11.0326	2.55569	0.862988	1	1	-1
11667	15450.7	4137.16	23.6421	199.587	1068.95	174.798	174.798	670.213	319.691	321.862	899.731	306.968	410.699	837.159	8	74	97	15	72	76	95	99	12	18	229	8.96348	2.36479	0.798526	1	1	-1
12547.4	8083.94	6386.24	28.4044	200.178	990.525	154.343	154.343	560.013	321.33	318.652	896.935	387.444	243.939	686.238	9	79	52	23	77	81	50	54	20	26	225	8.9814	2.53667	0.856567	1	1	-1
13425.3	1606.45	1503.79	29.7536	199.713	892.691	154.526	154.526	572.481	319.83	320.157	900.328	305.331	326.455	903.785	5	85	11	6	83	87	9	13	3	9	233	11.1559	2.71419	0.91651	1	1	-1
14434.5	19254.8	5798.44	28.3119	200.518	831.619	154.018	154.018	520.185	320.537	320.993	901.829	354.535	374.843	998.441	7	91	121	20	89	93	119	123	17	23	229	9.95474	2.45148	0.827801	1	1	-1
19083.7	27738.7	7272.14	24.2856	199.524	1066.58	178.266	178.266	651.334	320.742	321.158	900.78	363.746	378.748	972.144	7	120	174	25	118	122	172	176	22	28	225	8.5927	2.43226	0.82131	1	1	-1
20268.9	40344.5	5474.53	27.5357	200.121	763.807	162.087	162.087	525.365	318.993	320.336	900.949	268.92	344.48	974.529	6	128	253	19	126	130	251	255	16	22	224	9.88354	2.42402	0.818529	1	1	-1
22499.5	34457.7	4802.5	26.4848	199.985	846.194	156.647	156.647	624.627	318.907	321.276	900.076	259.46	377.746	902.495	7	142	216	17	140	144	214	218	14	20	225	9.51595	2.49058	0.841003	1	1	-1
