FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_8_I_300_0_img0.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_8_I_300_0_img0__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
4753.42	30972.3	5412.29	27.6332	199.82	9463.19	174.528	174.528	595.133	319.442	318.336	900.627	273.417	252.308	912.288	8	31	195	19	29	33	193	197	16	22	239	10.5327	2.92788	0.795773	1	1	-1
8084.32	23673.4	4423.84	27.485	198.323	11474.5	193.413	193.413	627.442	322.115	316.652	899.723	404.323	153.433	823.845	10	51	150	16	49	53	148	152	13	19	235	9.41501	3.05064	0.829139	1	1	-1
8781.62	5759.44	3789.31	22.3331	199.174	12835.3	159.041	159.041	743.594	320.585	319.442	903.974	301.621	319.438	1089.31	10	56	37	13	54	58	35	39	10	16	228	9.81268	3.02587	0.822406	1	1	-1
10486.3	30994.6	4711.49	28.8701	198.187	12625.2	177.828	177.828	826.255	321.891	319.086	906.645	406.28	274.579	1411.49	9	66	195	15	64	68	193	197	12	18	236	11.148	3.46707	0.94232	1	1	-1
11365.6	23149	2535.8	25.505	196.702	12088.8	217.025	217.025	706.199	320.34	319.203	904.755	325.553	268.978	1035.8	9	72	146	9	70	74	144	148	6	12	234	10.5917	2.96888	0.806916	1	1	-1
12974.8	5923.84	3189.22	33.4163	200.713	14134.5	136.048	136.048	604.822	320	318.298	901.206	334.835	323.84	789.216	12	82	38	12	80	84	36	40	9	15	235	12.1131	3.4748	0.944421	1	1	-1
13301.1	12021.3	6004.08	59.9162	200.989	9389.66	104.132	104.132	357.761	321.692	320.736	898.064	341.102	341.296	904.084	8	84	76	21	82	86	74	78	18	24	248	17.5172	3.67929	1	1	1	-1
14710.2	32957	6391.64	23.2029	196.723	9816.84	236.679	236.679	794.973	319.145	319.436	907.643	310.2	316.968	1291.64	16	93	207	21	91	95	205	209	18	24	228	9.1576	2.88595	0.784376	1	1	-1
15067.3	11441.7	2748.89	21.8029	199.348	11269.8	191.266	191.266	810.007	316.926	318.092	900.394	187.295	241.693	948.89	14	96	73	10	94	98	71	75	7	13	228	10.1418	3.06642	0.833427	1	1	-1
16048.4	29806.2	6589.91	41.5324	201.119	9960.73	103.799	103.799	589.722	321.026	319.498	899.933	368.435	366.153	889.911	9	101	187	23	99	103	185	189	20	26	238	12.4002	3.29662	0.895993	1	1	-1
