FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_300spots_bg_200_2_I_300_0_img2.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_300spots_bg_200_2_I_300_0_img2__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
324.34	29997.4	3999.51	9.09759	199.735	856.403	69.8637	69.8637	380.514	319.428	320.302	899.777	324.34	397.448	999.507	18	3	188	14	1	5	186	190	11	17	207	2.00576	0.619271	0.313851	1	1	-1
652.453	8824.31	2136.52	14.8116	200.123	1480.44	215.711	215.711	493.614	320.162	320.319	900.91	332.453	344.314	936.518	8	5	56	8	3	7	54	58	5	11	217	5.03489	1.22529	0.620987	1	1	-1
842.585	16757.6	2391.46	13.3281	200.379	1384.54	220.752	220.752	590.053	320.498	319.592	900.454	362.585	277.624	891.46	10	6	106	9	4	8	104	108	6	12	221	5.00875	1.25564	0.636365	1	1	-1
733.392	30929.9	6140.66	11.4683	199.912	1463.42	245.706	245.706	651.109	319.237	320.687	898.602	253.392	369.868	740.665	9	6	194	22	4	8	192	196	19	25	217	3.70757	1.10756	0.561318	1	1	-1
896.33	3505.15	5103.81	11.6562	199.774	1075.33	261.433	261.433	613.135	319.326	319.739	896.32	256.33	305.151	603.808	10	7	23	19	5	9	21	25	16	22	217	3.72715	1.0561	0.535239	1	1	-1
929.481	17447.6	4129.02	14.3884	198.768	959.335	243.409	243.409	695.681	319.663	320.242	899.057	289.481	327.56	829.018	8	7	110	15	5	9	108	112	12	18	216	4.59854	1.30104	0.659377	1	1	-1
1031.6	8122.98	6533.23	12.6553	200.352	1287.01	218.169	218.169	581.262	318.984	319.663	895.55	231.603	282.981	533.233	13	8	52	24	6	10	50	54	21	27	216	4.62827	1.18892	0.602552	1	1	-1
1082.65	8791.67	5202.2	13.2651	201.295	1228.97	194.505	194.505	513.761	319.744	319.794	898.209	282.646	311.669	702.198	8	8	56	19	6	10	54	58	16	22	217	5.04682	1.22548	0.621081	1	1	-1
1127.56	31703.4	1758.89	15.2865	201.332	1201.45	177.962	177.962	423.392	320.243	320.26	900.135	327.558	343.388	858.886	8	8	199	7	6	10	197	201	4	10	221	5.30262	1.19173	0.603979	1	1	-1
1366.88	1806.09	6101.33	14.3012	199.957	1267.1	215.584	215.584	553.807	321.137	320.427	901.913	406.883	366.088	1001.33	9	9	12	21	7	11	10	14	18	24	220	4.98941	1.28596	0.651736	1	1	-1
1440.11	27540.2	4699.96	9.85166	200.629	1391.8	236.939	236.939	593.233	319.946	320.094	898.846	320.109	340.188	799.964	8	10	173	17	8	12	171	175	14	20	216	3.3786	0.936058	0.474401	1	1	-1
1622.83	1096.84	4104.72	12.6811	200.05	1287.83	231.265	231.265	592.493	320.296	319.547	898.477	342.826	296.843	804.72	9	11	8	15	9	13	6	10	12	18	214	4.10039	1.15922	0.587503	1	1	-1
1898.33	9317.45	6440.29	12.4878	199.651	1280.38	239.506	239.506	646.757	319.591	318.548	898.5	298.331	197.452	740.291	10	13	60	23	11	15	58	62	20	26	216	4.23459	1.20096	0.608656	1	1	-1
1893.35	9772.02	1976.68	13.442	199.616	1400.53	228.888	228.888	673.149	319.551	320.238	898.266	293.354	332.019	776.68	10	13	62	8	11	15	60	64	5	11	214	5.40313	1.29436	0.655989	1	1	-1
1986.09	30764	4084.82	12.6785	200.041	1226.08	214.975	214.975	597.975	318.983	320.427	898.541	226.094	363.968	784.817	9	14	193	15	12	16	191	195	12	18	217	4.5385	1.23556	0.626191	1	1	-1
2350.74	29304.3	5672.78	3.79135	199.666	695.59	134.204	134.204	1987.94	320.091	319.973	899.854	270.739	344.275	2672.78	28	16	184	14	14	18	182	186	11	17	205	2.18404	0.652525	0.330704	1	1	-1
2341.45	32626.6	1581.55	15.4107	200.994	1255.05	185.375	185.375	534.631	319.3	319.933	898.016	261.447	306.593	681.553	8	16	205	7	14	18	203	207	4	10	219	5.95607	1.34692	0.68263	1	1	-1
2588.69	18587.7	6003.76	15.0519	200.801	1540.48	189.531	189.531	517.702	320.144	320.601	900.227	348.688	347.724	903.755	8	17	117	21	15	19	115	119	18	24	217	5.7901	1.32376	0.670892	1	1	-1
2690.39	15544.6	3004.52	13.1573	198.269	1122.44	288.056	288.056	703.347	319.502	320.265	900.118	290.385	344.584	904.524	8	18	98	11	16	20	96	100	8	14	216	3.56048	1.0545	0.534427	1	1	-1
3102.08	19204.4	1884.35	15.3822	199.852	1229.32	208.972	208.972	598.392	320.727	320.292	901.002	382.083	324.396	984.352	11	20	121	7	18	22	119	123	4	10	217	5.38697	1.40701	0.713082	1	1	-1
3371.51	6776.91	7091.49	13.395	199.904	1270	244.457	244.457	576.29	320.031	320.767	902.54	331.512	376.908	1091.49	9	22	43	24	20	24	41	45	21	27	216	4.38075	1.23197	0.624372	1	1	-1
3295.62	13638.6	6983.74	15.4383	201.123	1037.21	206.903	206.903	402.273	319.556	320.35	901.396	255.622	358.607	983.744	9	22	86	24	20	24	84	88	21	27	218	4.5236	1.21235	0.614428	1	1	-1
3513.83	9527.39	6028.14	12.8972	200.684	1167.05	208.419	208.419	539.113	319.776	319.219	900.286	313.833	247.395	928.142	9	23	61	21	21	25	59	63	18	24	217	4.55093	1.14169	0.578617	1	1	-1
3418.69	35471.8	3939.32	12.7552	198.623	1310.7	269.705	269.705	761.689	318.701	321.376	900.405	218.693	431.782	939.324	9	23	222	14	21	25	220	224	11	17	217	4.2422	1.26156	0.639368	1	1	-1
3727.51	27642.4	7426.08	12.1973	199.119	1445.27	258.473	258.473	652.739	320.719	319.496	898.921	367.507	282.398	826.082	10	24	174	26	22	26	172	176	23	29	216	4.65975	1.09788	0.556412	1	1	-1
3671.98	30432	7511.56	12.9106	199.474	1126.29	251.029	251.029	613.692	319.951	320.409	896.26	311.979	351.967	611.56	9	24	191	27	22	26	189	193	24	30	215	3.97267	1.15785	0.586805	1	1	-1
4074.46	2825.49	6221.77	13.7487	200.323	1014.29	215.628	215.628	583.532	320.848	321.207	898.763	394.464	425.486	821.773	7	26	18	22	24	28	16	20	19	25	215	4.48522	1.22903	0.622882	1	1	-1
4071.42	39469.4	7421.24	12.4721	199.934	1223.01	224.645	224.645	562.574	320.815	321.351	898.835	391.422	429.407	821.239	11	26	247	26	24	28	245	249	23	29	217	4.85974	1.15498	0.585354	1	1	-1
4146.38	15047.2	2356.97	12.9006	199.251	1201.57	250.43	250.43	652.545	319.86	321.747	896.386	306.383	487.228	556.975	10	27	94	10	25	29	92	96	7	13	215	4.38217	1.30317	0.660458	1	1	-1
